,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,neighborhood,licenses
0,0,0,0,0,0,0,0,Allston,0.045045045045045036
1,1,1,1,1,1,1,1,Back Bay,0.0990990990990991
2,2,2,2,2,2,2,2,Bay Village,0.009009009009009007
3,3,3,3,3,3,3,3,Beacon Hill,0.027027027027027032
4,4,4,4,4,4,4,4,Brighton,0.027027027027027032
5,5,5,5,5,5,5,5,Charlestown,0.01801801801801801
6,6,6,6,6,6,6,6,Chinatown,0.036036036036036036
7,7,7,7,7,7,7,7,Dorchester,0.045045045045045036
8,8,8,8,8,8,8,8,Downtown,0.16216216216216214
9,9,9,9,9,9,9,9,East Boston,0.045045045045045036
10,10,10,10,10,10,10,10,Fenway,0.07207207207207207
11,11,11,11,11,11,11,11,Hyde Park,0.01801801801801801
12,12,12,12,12,12,12,12,Jamaica Plain,0.036036036036036036
13,13,13,13,13,13,13,13,Leather District,0.009009009009009007
14,14,14,14,14,14,14,14,Longwood,0.009009009009009007
15,15,15,15,15,15,15,15,Mattapan,0.009009009009009007
16,16,16,16,16,16,16,16,Mission Hill,0.009009009009009007
17,17,17,17,17,17,17,17,North End,0.08108108108108109
18,18,18,18,18,18,18,18,Roslindale,0.01801801801801801
19,19,19,19,19,19,19,19,Roxbury,0.01801801801801801
20,20,20,20,20,20,20,20,South Boston,0.045045045045045036
21,21,21,21,21,21,21,21,South Boston Waterfront,0.054054054054054064
22,22,22,22,22,22,22,22,South End,0.06306306306306306
23,23,23,23,23,23,23,23,West End,0.027027027027027032
24,24,24,24,24,24,24,24,West Roxbury,0.01801801801801801
